option,file,format,wall_ms,rss_kb,output_bytes,sha256
wasm,testdata/corpus/scanned-3.pdf,pdf,4,737032,456,2fd86881be305d332f16e411f1834aa9c5fd3385b120e10aaeff9a4f4d893256
native,testdata/corpus/scanned-4.pdf,pdf,4,732308,456,38e4502fe2a567cb3b987e66eb72e4ee46f7463c4f94c937472e1190d664f091
wasm,testdata/corpus/scanned-4.pdf,pdf,4,743244,456,38e4502fe2a567cb3b987e66eb72e4ee46f7463c4f94c937472e1190d664f091
native,testdata/corpus/table-1.csv,document,1,738452,238,1c24b9afa5fff199dcc0d26103beca8dfdd27761f56e0399059151a8034c7d7b
wasm,testdata/corpus/table-1.csv,document,4,749456,238,1c24b9afa5fff199dcc0d26103beca8dfdd27761f56e0399059151a8034c7d7b
native,testdata/corpus/table-1.xlsx,document,2,744596,239,ebff7f05fd9f98acc0a2c2023036eec6e3b878c9227e1a33f3a5da35ef9d3a64
wasm,testdata/corpus/table-1.xlsx,document,4,755680,239,ebff7f05fd9f98acc0a2c2023036eec6e3b878c9227e1a33f3a5da35ef9d3a64
native,testdata/corpus/table-2.csv,document,2,750740,238,41ca959ddc55293775b5cea1f986e356694cb5fec33aa0bcbbf61955589c591e
wasm,testdata/corpus/table-2.csv,document,3,761876,238,41ca959ddc55293775b5cea1f986e356694cb5fec33aa0bcbbf61955589c591e
native,testdata/corpus/table-2.xlsx,document,1,756884,239,10b8fd8a528d85fbac6fb2911f99e70d2e43d3bdee9e0d7c8ae52fc3b54435c4
wasm,testdata/corpus/table-2.xlsx,document,4,768076,239,10b8fd8a528d85fbac6fb2911f99e70d2e43d3bdee9e0d7c8ae52fc3b54435c4
native,testdata/corpus/table-3.csv,document,1,763028,238,ae1954202783d851e383d00a27abce9f4fd7a760dd0cdb006544248ddb93aed0
wasm,testdata/corpus/table-3.csv,document,3,774276,238,ae1954202783d851e383d00a27abce9f4fd7a760dd0cdb006544248ddb93aed0
native,testdata/corpus/table-3.xlsx,document,1,769428,239,a486db99f1ac6ae1f7be6c5327a624648654ec3b6eb28e676e0b67703666cb78
wasm,testdata/corpus/table-3.xlsx,document,3,780480,239,a486db99f1ac6ae1f7be6c5327a624648654ec3b6eb28e676e0b67703666cb78
native,testdata/corpus/table-4.csv,document,1,775572,238,7f86e4963b9f10b18ae0ee9903286fafe79997f9c623b237e81c606172af7641
wasm,testdata/corpus/table-4.csv,document,4,786684,238,7f86e4963b9f10b18ae0ee9903286fafe79997f9c623b237e81c606172af7641
native,testdata/corpus/table-4.xlsx,document,2,781716,239,c86b5f70aacb69cb9e5aa2f8fb63ec520a4ca55ae869284f42ccff0cd5dd98ce
wasm,testdata/corpus/table-4.xlsx,document,4,792880,239,c86b5f70aacb69cb9e5aa2f8fb63ec520a4ca55ae869284f42ccff0cd5dd98ce
equality,all,42 fixtures matched byte-for-byte
